"lane.1","lane.2","lane.3","lane.4"
26,30,29,30
24,36,27,30
48,49,52,59
51,35,67,50
21,25,20,16
177,154,153,188
23,25,20,24
32,26,33,25
29,30,26,38
23,19,24,24
26,24,21,37
25,16,21,26
29,12,22,26
28,33,28,23
23,20,24,26
25,27,28,26
30,22,24,36
25,28,21,32
27,23,18,23
25,27,27,28
121,135,123,181
35,35,22,31
88,87,76,88
59,56,65,72
42,35,27,34
43,45,39,55
60,65,62,86
22,39,25,28
25,20,26,34
93,80,74,116
15,27,35,34
18,19,23,19
32,27,18,34
20,18,22,31
19,17,22,13
31,23,32,24
54,59,64,72
30,13,16,29
16,25,20,22
31,32,20,29
25,25,23,17
48,44,47,65
27,22,20,25
19,21,27,28
60,40,53,67
78,70,59,84
22,25,21,18
13,21,23,23
16,27,25,23
70,60,63,70
48,40,32,61
37,34,38,47
38,28,18,30
52,44,58,47
27,32,33,38
22,24,29,32
15,20,17,31
34,40,30,35
22,24,22,12
16,11,17,14
21,17,18,28
70,85,84,110
24,15,31,38
37,29,36,43
35,37,32,32
32,35,25,26
77,107,111,121
21,27,21,29
23,20,31,29
28,18,19,28
36,33,37,34
54,47,43,64
29,22,21,42
559,586,565,643
17,15,16,29
29,35,23,30
62,49,67,71
30,29,19,30
82,63,61,73
41,48,40,54
24,29,16,29
68,70,75,101
26,21,26,24
26,17,17,31
40,46,43,49
28,27,28,37
70,83,108,116
21,25,17,35
73,69,64,79
41,27,29,34
27,35,42,34
22,24,38,46
16,18,14,16
21,17,20,32
21,22,35,36
89,84,82,103
37,25,40,41
27,21,21,32
25,30,28,40
46,63,53,53
27,18,22,26
22,32,28,25
19,16,18,24
17,18,27,36
40,42,52,52
36,27,41,36
18,32,25,19
112,101,107,95
27,26,29,32
47,36,39,64
15,23,25,28
17,27,19,22
20,19,25,40
51,60,57,84
29,38,52,44
26,28,19,44
24,24,26,30
35,33,34,25
36,33,39,62
37,32,31,49
33,20,26,26
43,43,27,52
24,24,28,19
17,17,25,17
29,24,29,37
23,26,32,42
22,23,24,42
42,42,42,60
22,26,26,29
31,26,27,31
56,64,62,73
638,608,584,728
26,31,25,35
30,19,37,25
27,28,27,25
63,60,71,86
26,26,31,38
20,30,28,23
30,30,28,44
19,23,24,22
27,22,24,36
19,17,21,19
19,30,16,28
27,19,16,29
21,18,21,24
29,26,23,23
64,63,52,85
35,50,65,74
17,10,23,23
15,13,7,18
41,36,30,29
27,23,14,20
19,26,27,26
42,42,36,65
31,30,35,43
37,30,26,23
32,24,14,43
47,37,41,62
47,47,62,71
24,21,30,30
31,18,19,35
27,22,29,22
44,42,54,70
50,75,49,68
23,35,25,40
67,79,80,80
22,12,16,42
131,103,112,168
30,32,31,37
29,20,27,25
18,14,17,20
22,28,21,28
35,37,37,41
18,18,19,30
26,24,29,29
23,31,28,28
25,34,32,34
27,17,24,25
22,23,16,29
21,20,20,31
37,33,32,38
27,29,37,36
23,23,16,41
225,196,194,241
27,18,23,22
48,51,42,50
80,71,78,84
21,18,16,24
60,58,76,97
20,20,24,32
31,39,27,35
23,29,27,32
22,19,17,29
21,29,22,29
104,87,83,108
24,31,29,25
30,36,39,46
21,24,25,37
26,30,26,23
34,42,38,48
33,27,31,41
38,39,43,59
19,31,26,31
34,37,38,32
21,17,24,19
121,147,114,161
24,18,23,26
18,15,19,17
42,45,39,49
31,11,20,19
20,19,20,17
54,49,51,58
164,177,172,200
45,34,26,42
91,72,78,92
25,32,25,31
27,39,27,34
274,294,274,334
29,24,32,26
43,33,43,43
26,21,23,24
33,26,36,34
37,34,31,47
34,37,37,35
41,30,25,32
18,30,27,20
22,23,27,18
28,34,27,29
48,53,42,53
27,20,23,23
67,56,51,78
25,24,19,26
26,26,22,19
27,46,23,41
65,44,69,74
28,22,26,24
18,23,30,19
31,25,34,30
28,35,37,55
27,22,31,34
19,19,20,28
27,25,22,29
24,23,21,19
21,24,19,30
18,29,32,40
21,18,27,28
31,18,19,14
31,28,26,32
23,20,15,18
736,745,708,816
22,32,24,32
19,9,20,22
27,24,23,23
15,23,34,30
34,48,43,53
32,22,28,37
26,25,31,38
30,24,31,18
30,18,25,16
43,36,42,26
98,111,102,112
39,34,46,58
24,17,26,26
30,20,26,43
34,34,34,42
